username	name	id	location	followers_count	friends_count	description
sternshow	Stern Show	28562317	New York, NY	767999	653	Listen to the Howard Stern Show on the @SiriusXM app ➡️ https://t.co/3eHAFN9H0J
taylorstphens	Taylor Stephens	799760084	Los Angeles	742	57	CEO at Post Society - creative director/editor
audible_com	Audible	21001534	Newark, NJ	288386	1072	The Home of Storytelling: Audiobooks. Podcasts. Originals. https://t.co/XgnizJYhx7
Grimezsz	𝔊𝔯𝔦𝔪𝔢𝔰	276540738	Valhalla dot com ⚔️💅🏻⚔️	1338807	1590	our lady of perpetual chaos, Apprentice Planetologist at @makesoil 🪐🧝🏻‍♀️🍄
Zisteau	Zisteau	365133030	None	70364	154	I was going to think of something clever to put here a while ago and forgot. https://t.co/gAPYNuWo7l | https://t.co/mCvxvVCMWH | https://t.co/5VwNaH3vxE
brendonsmall	Brendon Small	480035350	Los Angeles	54048	829	I am brendon. METALOCALYPSE, DETHKLOK https://t.co/uxKblM9OND, HOME MOVIES, GALAKTIKON https://t.co/GiAHdeV3wn GALAKTIKON II & TPB Comic out now @bsgalaktikon
lukeymcgarry	Lukey McGarry	2584939998	Los Angeles, CA	6921	751	Award-winning Manc born / LA based cartoonist/ animator. IG: lukeymcgarry
jizziemcguire	Este Haim	381919062	stud city	167996	658	SNACKS https://t.co/yl45S08B4c IG: @estehaim
HAIMtheband	HAIM	126632581	None	1178337	432	gasoline (feat. taylor swift) + 3 am (feat. thundercat) out now
DioCancerFund	Dio Cancer Fund	378127004	Los Angeles, California	6040	44	Formed in honor of the legendary singer who lost his life to stomach cancer, The Ronnie James Dio Stand Up and Shout Cancer Fund is a 501(c)(3) non-profit.
hootsuite	Hootsuite 🦉	17093617	Vancouver, Canada	7369322	1408194	Social media tools, tips, news, and a shoulder to cry on for social pros since 2008. Sign up for free: https://t.co/mHUD1tkVis Support: @Hootsuite_Help
TwitterMusic	Twitter Music	373471064	314	11660213	7	🎶
CandaceBailey5	Candace Bailey	146930781	Los Angeles	108717	294	Actress, host, and lover of tiny spoons. For booking inquiries contact Silver Lining Entertainment.
FestivalSupreme	Festival Supreme	1284413826	Los Angeles, California	6084	365	Festival Supreme is a Music & Comedy Festival curated by Jack Black & Kyle Gass of Tenacious D.
